,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
52,Kerrisdale,49.2236554855,-123.159576182,Mccleery Golf Course,49.22082721237919,-123.1687593171101,Golf Course
53,Kerrisdale,49.2236554855,-123.159576182,Hills Of Kerrisdale,49.23480528083819,-123.1560947459788,Boutique
54,Kerrisdale,49.2236554855,-123.159576182,Tim Hortons,49.2347564,-123.1582236,Coffee Shop
55,Kerrisdale,49.2236554855,-123.159576182,BBT Cafe,49.23219344371493,-123.15580109126304,Chinese Restaurant
56,Kerrisdale,49.2236554855,-123.159576182,Nana’s Green Tea,49.234689686384314,-123.15646528854593,Dessert Shop
57,Kerrisdale,49.2236554855,-123.159576182,Choices Markets,49.2194681,-123.1495473,Supermarket
58,Kerrisdale,49.2236554855,-123.159576182,Senova,49.219448984186904,-123.14944641038487,Spanish Restaurant
59,Kerrisdale,49.2236554855,-123.159576182,Kerrisdale Community Centre,49.23325367241877,-123.15643980009825,Gym Pool
60,Kerrisdale,49.2236554855,-123.159576182,Ramen Jinya,49.23465396993431,-123.15640705709775,Noodle House
61,Kerrisdale,49.2236554855,-123.159576182,Subway,49.23520302141911,-123.15573710333206,Sandwich Place
62,Kerrisdale,49.2236554855,-123.159576182,Maple Grove Pool,49.22332617397963,-123.15985943260546,Pool
63,Kerrisdale,49.2236554855,-123.159576182,TD Canada Trust,49.23438179329572,-123.15829664468765,Bank
64,Kerrisdale,49.2236554855,-123.159576182,Dairy Queen / Orange Julius,49.23479460757405,-123.15942116462338,Ice Cream Shop
65,Kerrisdale,49.2236554855,-123.159576182,Adonia Kerrisdale Tea House,49.23463502960234,-123.15365305258857,Tea Room
66,Kerrisdale,49.2236554855,-123.159576182,Bean Around The World,49.22267397021699,-123.15396236723561,Café
67,Kerrisdale,49.2236554855,-123.159576182,Maple Grove Park,49.22267304824296,-123.15394448575984,Park
68,Kerrisdale,49.2236554855,-123.159576182,Orange Corner Crepe House,49.23468645695177,-123.15868118812627,Asian Restaurant
69,Kerrisdale,49.2236554855,-123.159576182,West Coast Liquor Store,49.23639807525972,-123.15570907298024,Liquor Store
70,Kerrisdale,49.2236554855,-123.159576182,Sushi Hachi,49.23476179568505,-123.15874541445365,Sushi Restaurant
71,Kerrisdale,49.2236554855,-123.159576182,Bus Stop 51018 (16),49.22749487860123,-123.15523665621099,Bus Stop
72,Kerrisdale,49.2236554855,-123.159576182,Bus Stop 59102 (49),49.227184289595996,-123.15301311700925,Bus Stop
73,Kerrisdale,49.2236554855,-123.159576182,Asa Sushi,49.23461546793014,-123.15793463491332,Sushi Restaurant
74,Kerrisdale,49.2236554855,-123.159576182,Modern City Chinese Restaurant,49.23458999346681,-123.15596070579105,Chinese Restaurant
75,Kerrisdale,49.2236554855,-123.159576182,McCleery,49.22516510933644,-123.1757926940918,Golf Course
76,Kerrisdale,49.2236554855,-123.159576182,Southlands Nursery,49.22684252520302,-123.17553428712165,Garden Center
77,Kerrisdale,49.2236554855,-123.159576182,Elm Park,49.23454763379452,-123.16289878188444,Park
78,Kerrisdale,49.2236554855,-123.159576182,New Chongqing Restaurant,49.234574,-123.153222,Chinese Restaurant
79,Kerrisdale,49.2236554855,-123.159576182,Southlands Fraser Trail,49.22355978945006,-123.17932003541839,Trail
80,Kerrisdale,49.2236554855,-123.159576182,"Bus Stop 50856 (10,480)",49.226594362053035,-123.1399028369657,Bus Stop
81,Kerrisdale,49.2236554855,-123.159576182,Bus Stop 52041 (49),49.22704840933326,-123.14003013509837,Bus Stop
82,Kerrisdale,49.2236554855,-123.159576182,Bus Stop 50763 (10),49.21953216630726,-123.14005358926721,Bus Stop
83,Kerrisdale,49.2236554855,-123.159576182,"Bus Stop 50767 (10,480)",49.22734990000829,-123.13976595814101,Bus Stop
84,Killarney,49.2170216717,-123.037647029,Kinemi's Kitchen,49.21494385245612,-123.03044764581463,Pizza Place
85,Killarney,49.2170216717,-123.037647029,Everett Crowley Park,49.21342955433354,-123.02829934550388,Park
